Kind,year,Total
Furniture stores,2001,50572
Home furnishings stores,2001,40912
Floor covering stores,2001,19208
All other home furnishings stores,2001,20547
Electronics and appliance stores,2001,88493
Household appliance stores,2001,13479
Electronics stores,2001,75014
Building mat. and garden equip. and supplies dealers,2001,239379
Building mat. and supplies dealers,2001,207020
Paint and wallpaper stores,2001,8589
Hardware stores,2001,16539
Food and beverage stores,2001,462429
Grocery stores,2001,418127
Supermarkets and other grocery (except convenience) stores,2001,396538
"Beer, wine, and liquor stores",2001,29621
Health and personal care stores,2001,166533
Pharmacies and drug stores,2001,141772
Gasoline stations,2001,251383
Clothing and clothing access. stores,2001,167287
Clothing stores,2001,119208
Men's clothing stores,2001,8625
Women's clothing stores,2001,31453
Family clothing stores,2001,60150
Other clothing stores,2001,8888
Shoe stores,2001,22884
Jewelry stores,2001,23561
"Sporting goods, hobby, musical instrument, and book stores",2001,68583
Sporting goods stores,2001,26158
"Hobby, toy, and game stores",2001,16820
Book stores,2001,15098
General merchandise stores,2001,427468
Department stores,2001,228377
Department stores(excl. discount department stores),2001,90782
Discount dept. stores,2001,137595
Other general merchandise stores,2001,199091
Warehouse clubs and superstores,2001,164716
All other gen. merchandise stores,2001,34375
Miscellaneous store retailers,2001,103087
"Office supplies, stationery, and gift stores",2001,39385
Office supplies and stationery stores,2001,20885
"Gift, novelty, and souvenir stores",2001,18500
Used merchandise stores,2001,9527
Nonstore retailers,2001,180563
Electronic shopping and mail-order houses,2001,114749
Fuel dealers,2001,26093
Food services and drinking places,2001,316638
Drinking places,2001,15684
Restaurants and other eating places,2001,272634
Full service restaurants,2001,140070
Limited service eating places,2001,132564
"Retail and food services sales, total",2000,3287537
Retail sales and food services excl motor vehicle and parts,2000,2491327
Retail sales and food services excl gasoline stations,2000,3037721
Retail sales and food services excl motor vehicle and parts and gasoline stations,2000,2241511
"Retail sales, total",2000,2983276
"Retail sales, total (excl. motor vehicle and parts dealers)",2000,2187066
GAFO(1),2000,862739
Motor vehicle and parts dealers,2000,796210
Automobile and other motor vehicle dealers,2000,732771
Automobile dealers,2000,687782
New car dealers,2000,630123
Used car dealers,2000,57659
"Automotive parts, acc., and tire stores",2000,63439
"Furniture, home furn, electronics, and appliance stores",2000,181592
Furniture and home furnishings stores,2000,91170
Furniture stores,2000,50617
Home furnishings stores,2000,40553
Floor covering stores,2000,19519
All other home furnishings stores,2000,(S)
Electronics and appliance stores,2000,90422
Household appliance stores,2000,12630
Electronics stores,2000,77792
Building mat. and garden equip. and supplies dealers,2000,228994
Building mat. and supplies dealers,2000,197649
Paint and wallpaper stores,2000,(S)
Hardware stores,2000,16179
Food and beverage stores,2000,444764
Grocery stores,2000,402515
Supermarkets and other grocery (except convenience) stores,2000,(S)
"Beer, wine, and liquor stores",2000,28507
Health and personal care stores,2000,155234
Pharmacies and drug stores,2000,130857
Gasoline stations,2000,249816
Clothing and clothing access. stores,2000,167674
Clothing stores,2000,118097
Men's clothing stores,2000,9507
Women's clothing stores,2000,31447
Family clothing stores,2000,58913
Other clothing stores,2000,(S)
Shoe stores,2000,22875
Jewelry stores,2000,24821
"Sporting goods, hobby, musical instrument, and book stores",2000,67592
Sporting goods stores,2000,25308
"Hobby, toy, and game stores",2000,16947
Book stores,2000,14879
General merchandise stores,2000,404228
Department stores,2000,232475
Department stores(excl. discount department stores),2000,96282
Discount dept. stores,2000,136193
Other general merchandise stores,2000,171753
Warehouse clubs and superstores,2000,139614
All other gen. merchandise stores,2000,32139
Miscellaneous store retailers,2000,106719
"Office supplies, stationery, and gift stores",2000,41653
Office supplies and stationery stores,2000,22748
"Gift, novelty, and souvenir stores",2000,18905
Used merchandise stores,2000,9832
Nonstore retailers,2000,180453
Electronic shopping and mail-order houses,2000,113790
Fuel dealers,2000,26692
Food services and drinking places,2000,304261
Drinking places,2000,15330
Restaurants and other eating places,2000,261098
Full service restaurants,2000,133579
Limited service eating places,2000,127519
"Retail and food services sales, total",1999,3086990
Retail sales and food services excl motor vehicle and parts,1999,2322786
Retail sales and food services excl gasoline stations,1999,2874466
Retail sales and food services excl motor vehicle and parts and gasoline stations,1999,2110262
"Retail sales, total",1999,2803090
"Retail sales, total (excl. motor vehicle and parts dealers)",1999,2038886
GAFO(1),1999,815665
Motor vehicle and parts dealers,1999,764204
Automobile and other motor vehicle dealers,1999,701555
Automobile dealers,1999,661820
New car dealers,1999,606167
Used car dealers,1999,55653
"Automotive parts, acc., and tire stores",1999,62649
"Furniture, home furn, electronics, and appliance stores",1999,171657
Furniture and home furnishings stores,1999,84294
Furniture stores,1999,47022
Home furnishings stores,1999,37272
Floor covering stores,1999,18409
All other home furnishings stores,1999,(S)
Electronics and appliance stores,1999,87363
Household appliance stores,1999,12082
Electronics stores,1999,75281
Building mat. and garden equip. and supplies dealers,1999,218290
Building mat. and supplies dealers,1999,187916
Paint and wallpaper stores,1999,(S)
Hardware stores,1999,15586
Food and beverage stores,1999,433699
Grocery stores,1999,394250
Supermarkets and other grocery (except convenience) stores,1999,(S)
"Beer, wine, and liquor stores",1999,26476
Health and personal care stores,1999,142699
Pharmacies and drug stores,1999,121282
Gasoline stations,1999,212524
Clothing and clothing access. stores,1999,159751
Clothing stores,1999,111681
Men's clothing stores,1999,9667
Women's clothing stores,1999,29549
Family clothing stores,1999,55318
Other clothing stores,1999,(S)
Shoe stores,1999,22690
Jewelry stores,1999,23691
"Sporting goods, hobby, musical instrument, and book stores",1999,64072
Sporting goods stores,1999,23699
"Hobby, toy, and game stores",1999,16651
Book stores,1999,14172
General merchandise stores,1999,380179
Department stores,1999,230304
Department stores(excl. discount department stores),1999,96652
Discount dept. stores,1999,133652
Other general merchandise stores,1999,149875
Warehouse clubs and superstores,1999,118809
All other gen. merchandise stores,1999,31066
Miscellaneous store retailers,1999,104218
"Office supplies, stationery, and gift stores",1999,40006
Office supplies and stationery stores,1999,21600
"Gift, novelty, and souvenir stores",1999,18406
Used merchandise stores,1999,9377
Nonstore retailers,1999,151797
Electronic shopping and mail-order houses,1999,94282
Fuel dealers,1999,19912
Food services and drinking places,1999,283900
Drinking places,1999,14530
Restaurants and other eating places,1999,244761
Full service restaurants,1999,125108
Limited service eating places,1999,119653
"Retail and food services sales, total",1998,2852956
Retail sales and food services excl motor vehicle and parts,1998,2164541
Retail sales and food services excl gasoline stations,1998,2661229
Retail sales and food services excl motor vehicle and parts and gasoline stations,1998,1972814
"Retail sales, total",1998,2581762
"Retail sales, total (excl. motor vehicle and parts dealers)",1998,1893347
GAFO(1),1998,757936
Motor vehicle and parts dealers,1998,688415
Automobile and other motor vehicle dealers,1998,628416
Automobile dealers,1998,593501
New car dealers,1998,542559
Used car dealers,1998,50942
"Automotive parts, acc., and tire stores",1998,59999
"Furniture, home furn, electronics, and appliance stores",1998,160143
Furniture and home furnishings stores,1998,77412
Furniture stores,1998,44110
Home furnishings stores,1998,33302
Floor covering stores,1998,16961
All other home furnishings stores,1998,(S)
Electronics and appliance stores,1998,82731
Household appliance stores,1998,11099
Electronics stores,1998,71632
Building mat. and garden equip. and supplies dealers,1998,202423
Building mat. and supplies dealers,1998,172201
Paint and wallpaper stores,1998,(S)
Hardware stores,1998,14965
Food and beverage stores,1998,416525
Grocery stores,1998,378188
Supermarkets and other grocery (except convenience) stores,1998,(S)
"Beer, wine, and liquor stores",1998,25382
Health and personal care stores,1998,129583
Pharmacies and drug stores,1998,108415
Gasoline stations,1998,191727
Clothing and clothing access. stores,1998,149151
Clothing stores,1998,104128
Men's clothing stores,1998,10196
Women's clothing stores,1998,28332
Family clothing stores,1998,50154
Other clothing stores,1998,(S)
Shoe stores,1998,22238
Jewelry stores,1998,21271
"Sporting goods, hobby, musical instrument, and book stores",1998,60441
Sporting goods stores,1998,22284
"Hobby, toy, and game stores",1998,15833
Book stores,1998,13282
General merchandise stores,1998,351081
Department stores,1998,223290
Department stores(excl. discount department stores),1998,94308
Discount dept. stores,1998,128982
Other general merchandise stores,1998,127791
Warehouse clubs and superstores,1998,98493
All other gen. merchandise stores,1998,29298
Miscellaneous store retailers,1998,98369
"Office supplies, stationery, and gift stores",1998,37120
Office supplies and stationery stores,1998,19522
"Gift, novelty, and souvenir stores",1998,17598
Used merchandise stores,1998,9023
Nonstore retailers,1998,133904
Electronic shopping and mail-order houses,1998,80297
Fuel dealers,1998,18925
Food services and drinking places,1998,271194
Drinking places,1998,13957
Restaurants and other eating places,1998,234940
Full service restaurants,1998,119432
Limited service eating places,1998,115508
"Retail and food services sales, total",1997,2726131
Retail sales and food services excl motor vehicle and parts,1997,2072314
Retail sales and food services excl gasoline stations,1997,2526431
Retail sales and food services excl motor vehicle and parts and gasoline stations,1997,1872614
"Retail sales, total",1997,2468767
"Retail sales, total (excl. motor vehicle and parts dealers)",1997,1814950
GAFO(1),1997,713387
Motor vehicle and parts dealers,1997,653817
Automobile and other motor vehicle dealers,1997,595273
Automobile dealers,1997,564658
New car dealers,1997,518972
Used car dealers,1997,45686
"Automotive parts, acc., and tire stores",1997,58544
"Furniture, home furn, electronics, and appliance stores",1997,150372
Furniture and home furnishings stores,1997,72715
Furniture stores,1997,41877
Home furnishings stores,1997,30838
Floor covering stores,1997,16050
All other home furnishings stores,1997,(S)
Electronics and appliance stores,1997,77657
Household appliance stores,1997,10374
Electronics stores,1997,67283
Building mat. and garden equip. and supplies dealers,1997,191063
Building mat. and supplies dealers,1997,162068
Paint and wallpaper stores,1997,(S)
Hardware stores,1997,13952
Food and beverage stores,1997,409373
Grocery stores,1997,372570
Supermarkets and other grocery (except convenience) stores,1997,(S)
"Beer, wine, and liquor stores",1997,24081
Health and personal care stores,1997,118672
Pharmacies and drug stores,1997,98823
Gasoline stations,1997,199700
Clothing and clothing access. stores,1997,140293
Clothing stores,1997,97722
Men's clothing stores,1997,10069
Women's clothing stores,1997,27822
Family clothing stores,1997,45243
Other clothing stores,1997,(S)
Shoe stores,1997,21450
Jewelry stores,1997,19629
"Sporting goods, hobby, musical instrument, and book stores",1997,57692
Sporting goods stores,1997,21167
"Hobby, toy, and game stores",1997,15021
Book stores,1997,12742
General merchandise stores,1997,331363
Department stores,1997,220108
Department stores(excl. discount department stores),1997,93985
Discount dept. stores,1997,126123
Other general merchandise stores,1997,111255
Warehouse clubs and superstores,1997,81919
All other gen. merchandise stores,1997,29336
Miscellaneous store retailers,1997,90232
"Office supplies, stationery, and gift stores",1997,33667
Office supplies and stationery stores,1997,17334
"Gift, novelty, and souvenir stores",1997,16333
Used merchandise stores,1997,8058
Nonstore retailers,1997,126190
Electronic shopping and mail-order houses,1997,70067
Fuel dealers,1997,21941
Food services and drinking places,1997,257364
Drinking places,1997,13379
Restaurants and other eating places,1997,223308
Full service restaurants,1997,114186
Limited service eating places,1997,109122
"Retail and food services sales, total",1996,2603794
Retail sales and food services excl motor vehicle and parts,1996,1976287
Retail sales and food services excl gasoline stations,1996,2409369
Retail sales and food services excl motor vehicle and parts and gasoline stations,1996,1781862
"Retail sales, total",1996,2361549
"Retail sales, total (excl. motor vehicle and parts dealers)",1996,1734042
GAFO(1),1996,682613
Motor vehicle and parts dealers,1996,627507
Automobile and other motor vehicle dealers,1996,571943
Automobile dealers,1996,543949
New car dealers,1996,502340
Used car dealers,1996,41609
"Automotive parts, acc., and tire stores",1996,55564
"Furniture, home furn, electronics, and appliance stores",1996,143767
Furniture and home furnishings stores,1996,67707
Furniture stores,1996,39168
Home furnishings stores,1996,28539
Floor covering stores,1996,14639
All other home furnishings stores,1996,(S)
Electronics and appliance stores,1996,76060
Household appliance stores,1996,10215
Electronics stores,1996,(S)
Building mat. and garden equip. and supplies dealers,1996,176683
Building mat. and supplies dealers,1996,150453
Paint and wallpaper stores,1996,(S)
Hardware stores,1996,13907
Food and beverage stores,1996,401073
Grocery stores,1996,365547
Supermarkets and other grocery (except convenience) stores,1996,(S)
"Beer, wine, and liquor stores",1996,23157
Health and personal care stores,1996,109557
Pharmacies and drug stores,1996,91810
Gasoline stations,1996,194425
Clothing and clothing access. stores,1996,136581
Clothing stores,1996,93712
Men's clothing stores,1996,9546
Women's clothing stores,1996,28238
Family clothing stores,1996,42259
Other clothing stores,1996,(S)
Shoe stores,1996,21235
Jewelry stores,1996,20169
"Sporting goods, hobby, musical instrument, and book stores",1996,56071
Sporting goods stores,1996,20810
"Hobby, toy, and game stores",1996,14502
Book stores,1996,11905
General merchandise stores,1996,315305
Department stores,1996,212203
Department stores(excl. discount department stores),1996,92172
Discount dept. stores,1996,120031
Other general merchandise stores,1996,103102
Warehouse clubs and superstores,1996,73079
All other gen. merchandise stores,1996,30023
Miscellaneous store retailers,1996,82819
"Office supplies, stationery, and gift stores",1996,30889
Office supplies and stationery stores,1996,15592
"Gift, novelty, and souvenir stores",1996,15297
Used merchandise stores,1996,7256
Nonstore retailers,1996,117761
Electronic shopping and mail-order houses,1996,61106
Fuel dealers,1996,22563
Food services and drinking places,1996,242245
Drinking places,1996,12949
Restaurants and other eating places,1996,210149
Full service restaurants,1996,104113
Limited service eating places,1996,106036
"Retail and food services sales, total",1995,2450628
Retail sales and food services excl motor vehicle and parts,1995,1870913
Retail sales and food services excl gasoline stations,1995,2269515
Retail sales and food services excl motor vehicle and parts and gasoline stations,1995,1689800
"Retail sales, total",1995,2217616
"Retail sales, total (excl. motor vehicle and parts dealers)",1995,1637901
GAFO(1),1995,650040
Motor vehicle and parts dealers,1995,579715
Automobile and other motor vehicle dealers,1995,527812
Automobile dealers,1995,501684
New car dealers,1995,464642
Used car dealers,1995,37042
"Automotive parts, acc., and tire stores",1995,51903
"Furniture, home furn, electronics, and appliance stores",1995,135849
Furniture and home furnishings stores,1995,63470
Furniture stores,1995,36977
Home furnishings stores,1995,26493
Floor covering stores,1995,13704
All other home furnishings stores,1995,(S)
Electronics and appliance stores,1995,72379
Household appliance stores,1995,9980
Electronics stores,1995,(S)
Building mat. and garden equip. and supplies dealers,1995,164561
Building mat. and supplies dealers,1995,141028
Paint and wallpaper stores,1995,(S)
Hardware stores,1995,13718
Food and beverage stores,1995,390386
Grocery stores,1995,356409
Supermarkets and other grocery (except convenience) stores,1995,(S)
"Beer, wine, and liquor stores",1995,22007
Health and personal care stores,1995,101635
Pharmacies and drug stores,1995,85840
Gasoline stations,1995,181113
Clothing and clothing access. stores,1995,131333
Clothing stores,1995,90708
Men's clothing stores,1995,9315
Women's clothing stores,1995,28696
Family clothing stores,1995,39999
Other clothing stores,1995,(S)
Shoe stores,1995,20341
Jewelry stores,1995,19007
"Sporting goods, hobby, musical instrument, and book stores",1995,53033
Sporting goods stores,1995,19869
"Hobby, toy, and game stores",1995,13714
Book stores,1995,11196
General merchandise stores,1995,300498
Department stores,1995,205920
Department stores(excl. discount department stores),1995,89300
Discount dept. stores,1995,116620
Other general merchandise stores,1995,94578
Warehouse clubs and superstores,1995,65101
All other gen. merchandise stores,1995,29477
Miscellaneous store retailers,1995,75977
"Office supplies, stationery, and gift stores",1995,29327
Office supplies and stationery stores,1995,14824
"Gift, novelty, and souvenir stores",1995,14503
Used merchandise stores,1995,6617
Nonstore retailers,1995,103516
Electronic shopping and mail-order houses,1995,52680
Fuel dealers,1995,19820
Food services and drinking places,1995,233012
Drinking places,1995,12452
Restaurants and other eating places,1995,202050
Full service restaurants,1995,99032
Limited service eating places,1995,103018
"Retail and food services sales, total",1994,2330235
Retail sales and food services excl motor vehicle and parts,1994,1789094
Retail sales and food services excl gasoline stations,1994,2159013
Retail sales and food services excl motor vehicle and parts and gasoline stations,1994,1617872
"Retail sales, total",1994,2105235
"Retail sales, total (excl. motor vehicle and parts dealers)",1994,1564094
GAFO(1),1994,616347
Motor vehicle and parts dealers,1994,541141
Automobile and other motor vehicle dealers,1994,491901
Automobile dealers,1994,468100
New car dealers,1994,435661
Used car dealers,1994,32439
"Automotive parts, acc., and tire stores",1994,49240
"Furniture, home furn, electronics, and appliance stores",1994,124786
Furniture and home furnishings stores,1994,60416
Furniture stores,1994,35503
Home furnishings stores,1994,24913
Floor covering stores,1994,12765
All other home furnishings stores,1994,(S)
Electronics and appliance stores,1994,64370
Household appliance stores,1994,9045
Electronics stores,1994,(S)
Building mat. and garden equip. and supplies dealers,1994,157228
Building mat. and supplies dealers,1994,135099
Paint and wallpaper stores,1994,(S)
Hardware stores,1994,13778
Food and beverage stores,1994,384340
Grocery stores,1994,350523
Supermarkets and other grocery (except convenience) stores,1994,(S)
"Beer, wine, and liquor stores",1994,22101
Health and personal care stores,1994,96363
Pharmacies and drug stores,1994,81994
Gasoline stations,1994,171222
Clothing and clothing access. stores,1994,129083
Clothing stores,1994,90161
Men's clothing stores,1994,10032
Women's clothing stores,1994,30585
Family clothing stores,1994,38103
Other clothing stores,1994,(S)
Shoe stores,1994,19907
Jewelry stores,1994,17852
"Sporting goods, hobby, musical instrument, and book stores",1994,50145
Sporting goods stores,1994,18825
"Hobby, toy, and game stores",1994,12850
Book stores,1994,10107
General merchandise stores,1994,285190
Department stores,1994,198945
Department stores(excl. discount department stores),1994,89402
Discount dept. stores,1994,109543
Other general merchandise stores,1994,86245
Warehouse clubs and superstores,1994,57756
All other gen. merchandise stores,1994,28489
Miscellaneous store retailers,1994,69457
"Office supplies, stationery, and gift stores",1994,27143
Office supplies and stationery stores,1994,13235
"Gift, novelty, and souvenir stores",1994,13908
Used merchandise stores,1994,6125
Nonstore retailers,1994,96280
Electronic shopping and mail-order houses,1994,47037
Fuel dealers,1994,18700
Food services and drinking places,1994,225000
Drinking places,1994,11762
Restaurants and other eating places,1994,195025
Full service restaurants,1994,96683
Limited service eating places,1994,98342
"Retail and food services sales, total",1993,2153095
Retail sales and food services excl motor vehicle and parts,1993,1680179
Retail sales and food services excl gasoline stations,1993,1990719
Retail sales and food services excl motor vehicle and parts and gasoline stations,1993,1517803
"Retail sales, total",1993,1937628
"Retail sales, total (excl. motor vehicle and parts dealers)",1993,1464712
GAFO(1),1993,570782
Motor vehicle and parts dealers,1993,472916
Automobile and other motor vehicle dealers,1993,428106
Automobile dealers,1993,407126
New car dealers,1993,379522
Used car dealers,1993,27604
"Automotive parts, acc., and tire stores",1993,44810
"Furniture, home furn, electronics, and appliance stores",1993,110588
Furniture and home furnishings stores,1993,55456
Furniture stores,1993,33299
Home furnishings stores,1993,22157
Floor covering stores,1993,11460
All other home furnishings stores,1993,(S)
Electronics and appliance stores,1993,55132
Household appliance stores,1993,9137
Electronics stores,1993,(S)
Building mat. and garden equip. and supplies dealers,1993,140964
Building mat. and supplies dealers,1993,120426
Paint and wallpaper stores,1993,(S)
Hardware stores,1993,13000
Food and beverage stores,1993,374516
Grocery stores,1993,341318
Supermarkets and other grocery (except convenience) stores,1993,(S)
"Beer, wine, and liquor stores",1993,21538
Health and personal care stores,1993,92594
Pharmacies and drug stores,1993,79707
Gasoline stations,1993,162376
Clothing and clothing access. stores,1993,124749
Clothing stores,1993,88127
Men's clothing stores,1993,9962
Women's clothing stores,1993,32350
Family clothing stores,1993,35297
Other clothing stores,1993,(S)
Shoe stores,1993,19028
Jewelry stores,1993,16429
"Sporting goods, hobby, musical instrument, and book stores",1993,45573
Sporting goods stores,1993,16791
"Hobby, toy, and game stores",1993,11651
Book stores,1993,9108
General merchandise stores,1993,265996
Department stores,1993,187685
Department stores(excl. discount department stores),1993,86325
Discount dept. stores,1993,101360
Other general merchandise stores,1993,78311
Warehouse clubs and superstores,1993,46628
All other gen. merchandise stores,1993,31683
Miscellaneous store retailers,1993,61545
"Office supplies, stationery, and gift stores",1993,23876
Office supplies and stationery stores,1993,11127
"Gift, novelty, and souvenir stores",1993,12749
Used merchandise stores,1993,6136
Nonstore retailers,1993,85811
Electronic shopping and mail-order houses,1993,40677
Fuel dealers,1993,17566
Food services and drinking places,1993,215467
Drinking places,1993,12141
Restaurants and other eating places,1993,185719
Full service restaurants,1993,91122
Limited service eating places,1993,94597
"Retail and food services sales, total",1992,2014102
Retail sales and food services excl motor vehicle and parts,1992,1595709
Retail sales and food services excl gasoline stations,1992,1857778
Retail sales and food services excl motor vehicle and parts and gasoline stations,1992,1439385
"Retail sales, total",1992,1811237
"Retail sales, total (excl. motor vehicle and parts dealers)",1992,1392844
GAFO(1),1992,533388
Motor vehicle and parts dealers,1992,418393
Automobile and other motor vehicle dealers,1992,376470
Automobile dealers,1992,358444
New car dealers,1992,333801
Used car dealers,1992,24643
"Automotive parts, acc., and tire stores",1992,41923
"Furniture, home furn, electronics, and appliance stores",1992,101027
Furniture and home furnishings stores,1992,52336
Furniture stores,1992,31552
Home furnishings stores,1992,20784
Floor covering stores,1992,10597
All other home furnishings stores,1992,(S)
Electronics and appliance stores,1992,48691
Household appliance stores,1992,8437
Electronics stores,1992,(S)
Building mat. and garden equip. and supplies dealers,1992,130989
Building mat. and supplies dealers,1992,110315
Paint and wallpaper stores,1992,(S)
Hardware stores,1992,12670
Food and beverage stores,1992,370513
Grocery stores,1992,337370
Supermarkets and other grocery (except convenience) stores,1992,(S)
"Beer, wine, and liquor stores",1992,21687
Health and personal care stores,1992,89705
Pharmacies and drug stores,1992,77791
Gasoline stations,1992,156324
Clothing and clothing access. stores,1992,120103
Clothing stores,1992,85370
Men's clothing stores,1992,10179
Women's clothing stores,1992,31815
Family clothing stores,1992,33146
Other clothing stores,1992,(S)
Shoe stores,1992,18616
Jewelry stores,1992,15045
"Sporting goods, hobby, musical instrument, and book stores",1992,42966
Sporting goods stores,1992,15583
"Hobby, toy, and game stores",1992,11251
Book stores,1992,8327
General merchandise stores,1992,247876
Department stores,1992,177089
Department stores(excl. discount department stores),1992,85153
Discount dept. stores,1992,91936
Other general merchandise stores,1992,70787
Warehouse clubs and superstores,1992,40025
All other gen. merchandise stores,1992,30762
Miscellaneous store retailers,1992,54840
"Office supplies, stationery, and gift stores",1992,21416
Office supplies and stationery stores,1992,9184
"Gift, novelty, and souvenir stores",1992,12232
Used merchandise stores,1992,5567
Nonstore retailers,1992,78501
Electronic shopping and mail-order houses,1992,35210
Fuel dealers,1992,16665
Food services and drinking places,1992,202865
Drinking places,1992,12281
Restaurants and other eating places,1992,173468
Full service restaurants,1992,86208
Limited service eating places,1992,87260
